"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.501065080E1,2.547070390E1,NaN,NaN,NaN,8.000000000E2,0.000000000E0
1.426861430E-1,6.501060780E1,2.546640150E1,8.633925652E0,NaN,NaN,1.197200012E1,1.464684725E0
4.702273644E0,6.501061096E1,2.546636684E1,6.976756425E1,0.000000000E0,NaN,9.007459641E0,3.915635300E1
5.704063592E0,6.501058339E1,2.546642680E1,1.536230550E1,0.000000000E0,NaN,1.612217903E1,4.235034180E1
5.910130258E0,6.501059325E1,2.546640698E1,8.129695376E0,2.399999946E-1,3.497999878E2,1.511092186E1,2.734008598E1
6.909447862E0,6.501058636E1,2.546641537E1,5.864012557E0,0.000000000E0,NaN,1.587452984E1,2.689072418E1
7.909583643E0,6.501059166E1,2.546644501E1,1.170129285E1,0.000000000E0,NaN,1.416746235E1,2.257246399E1
8.911606611E0,6.501058708E1,2.546643543E1,1.215832519E1,0.000000000E0,NaN,1.265985584E1,1.934650803E1
9.909545257E0,6.501058393E1,2.546641281E1,9.536498661E0,0.000000000E0,NaN,1.153922176E1,1.759771156E1
1.090981515E1,6.501057688E1,2.546639167E1,9.468079490E0,0.000000000E0,NaN,1.068627834E1,1.609224319E1
1.191030296E1,6.501058125E1,2.546640152E1,8.458984259E0,0.000000000E0,NaN,1.068108082E1,1.579151154E1
1.290970906E1,6.501058263E1,2.546637984E1,7.717283016E0,0.000000000E0,NaN,1.055820274E1,1.543809509E1
1.390987458E1,6.501058908E1,2.546636152E1,8.753778307E0,0.000000000E0,NaN,1.018684673E1,1.475670052E1
1.490993984E1,6.501059730E1,2.546634819E1,1.102263410E1,0.000000000E0,NaN,9.985768318E0,1.430642605E1
1.590920031E1,6.501060112E1,2.546634778E1,1.316569902E1,0.000000000E0,NaN,1.001854610E1,1.427888012E1
1.690948208E1,6.501060389E1,2.546634626E1,1.608775596E1,0.000000000E0,NaN,1.018006039E1,1.407339954E1
1.790893468E1,6.501060944E1,2.546634372E1,1.834379614E1,0.000000000E0,NaN,1.081470299E1,1.457181644E1
1.890863921E1,6.501061641E1,2.546633724E1,1.990623199E1,0.000000000E0,NaN,1.050579834E1,1.408970642E1
1.990956645E1,6.501061936E1,2.546633797E1,2.200217818E1,0.000000000E0,NaN,1.097446728E1,1.435479546E1
2.090856202E1,6.501062590E1,2.546632880E1,2.304074926E1,0.000000000E0,NaN,1.251719666E1,1.489196587E1
2.190959150E1,6.501061877E1,2.546633302E1,2.291251742E1,0.000000000E0,NaN,1.466575527E1,1.528195953E1
2.291030520E1,6.501063206E1,2.546632392E1,2.430966747E1,0.000000000E0,NaN,1.198011589E1,1.459795284E1
2.390913103E1,6.501063904E1,2.546631913E1,2.607028458E1,0.000000000E0,NaN,1.075768375E1,1.330964375E1
2.490930848E1,6.501064290E1,2.546632952E1,2.752762025E1,0.000000000E0,NaN,1.091839314E1,1.356624222E1
2.590972280E1,6.501064241E1,2.546632093E1,2.601565695E1,1.799999952E0,2.592999878E2,1.082104778E1,1.350910759E1
2.690982009E1,6.501065469E1,2.546632011E1,2.679409458E1,9.599999785E-1,3.071000061E2,1.112846947E1,1.394623280E1
2.790926285E1,6.501066174E1,2.546629542E1,2.688063803E1,9.700000286E-1,2.847999878E2,1.103800201E1,1.397244072E1
2.890973608E1,6.501067238E1,2.546628061E1,2.881074768E1,1.159999967E0,3.083999939E2,1.100656223E1,1.395092106E1
2.990886671E1,6.501068739E1,2.546627346E1,3.070869066E1,1.070000052E0,3.120000000E2,1.063632298E1,1.348987198E1
3.090877093E1,6.501069983E1,2.546625517E1,3.160230035E1,1.370000005E0,2.892999878E2,1.034875584E1,1.315462399E1
3.190955228E1,6.501071041E1,2.546624399E1,3.227002014E1,9.900000095E-1,2.996000061E2,1.047415066E1,1.325738335E1
3.291086978E1,6.501071983E1,2.546624441E1,3.297716988E1,7.300000191E-1,3.091000061E2,1.033290958E1,1.255213261E1
3.391246853E1,6.501072794E1,2.546623976E1,3.464916353E1,7.099999785E-1,2.962000122E2,1.060992718E1,1.251228142E1
3.491431994E1,6.501073648E1,2.546622807E1,3.581261160E1,8.799999952E-1,2.915000000E2,1.119810104E1,1.211640453E1
3.591214092E1,6.501074836E1,2.546620459E1,3.675822311E1,1.149999976E0,2.930000000E2,1.157866287E1,1.233190727E1
3.690969124E1,6.501074876E1,2.546617277E1,3.081705864E1,1.019999981E0,2.878999939E2,1.033553123E1,1.179281712E1
3.791198144E1,6.501073753E1,2.546612875E1,2.660349789E1,1.110000014E0,2.690000000E2,9.502022743E0,1.112312794E1
3.891365618E1,6.501072483E1,2.546608970E1,2.463200347E1,9.599999785E-1,2.731000061E2,8.843811035E0,1.059208584E1
3.991455868E1,6.501071469E1,2.546605562E1,2.371489073E1,8.899999857E-1,2.762000122E2,8.548404694E0,1.028849411E1
4.090906545E1,6.501070976E1,2.546603455E1,2.274296734E1,7.099999785E-1,2.848999939E2,8.135034561E0,9.818986893E0
4.191181592E1,6.501070737E1,2.546602086E1,2.274424905E1,5.600000024E-1,2.782000122E2,7.846858501E0,9.415792465E0
4.291159894E1,6.501069916E1,2.546601044E1,1.983403418E1,0.000000000E0,NaN,7.831431389E0,9.149281502E0
4.391327285E1,6.501070296E1,2.546600341E1,1.959086818E1,0.000000000E0,NaN,8.175232887E0,9.350067139E0
4.491483118E1,6.501071158E1,2.546600394E1,1.909776189E1,0.000000000E0,NaN,8.330783844E0,9.340845108E0
4.591323477E1,6.501071988E1,2.546601141E1,1.880741499E1,0.000000000E0,NaN,8.247888565E0,9.091419220E0
4.691414306E1,6.501072597E1,2.546601598E1,1.888382899E1,0.000000000E0,NaN,8.308240891E0,9.040816307E0
4.791597956E1,6.501073433E1,2.546602205E1,1.885349173E1,0.000000000E0,NaN,8.247583389E0,8.878655434E0
4.891575149E1,6.501073881E1,2.546602372E1,1.893802382E1,0.000000000E0,NaN,7.872666836E0,8.415205956E0
4.991541561E1,6.501074284E1,2.546601711E1,1.902194516E1,0.000000000E0,NaN,7.379022121E0,7.879958630E0
5.090961790E1,6.501074482E1,2.546601078E1,1.939676086E1,0.000000000E0,NaN,7.295720577E0,7.745201588E0
5.191252920E1,6.501074327E1,2.546600085E1,1.947549612E1,0.000000000E0,NaN,7.169261456E0,7.473931789E0
5.291008191E1,6.501074745E1,2.546598327E1,2.015634047E1,8.899999857E-1,3.048999939E2,6.948872566E0,7.197981834E0
5.391040456E1,6.501075488E1,2.546595645E1,2.022158235E1,1.320000052E0,3.042000122E2,6.819762707E0,7.101817131E0
5.491272654E1,6.501075932E1,2.546593133E1,1.996224054E1,9.499999881E-1,2.977999878E2,6.760868073E0,7.102182865E0
5.591121711E1,6.501075711E1,2.546590091E1,2.000032522E1,1.059999943E0,2.871000061E2,6.886846542E0,7.347006321E0
5.691768118E1,6.501076175E1,2.546587797E1,1.933400105E1,1.210000038E0,3.158999939E2,6.453093052E0,7.156175613E0
5.791341774E1,6.501076426E1,2.546586171E1,1.933729486E1,1.049999952E0,3.102999878E2,6.625577450E0,7.380878925E0
5.891297118E1,6.501076735E1,2.546584639E1,1.981263442E1,9.800000191E-1,3.117000122E2,6.692282677E0,7.688505173E0
5.990893003E1,6.501077349E1,2.546582770E1,2.015729630E1,9.700000286E-1,3.076000061E2,6.856459618E0,8.104585648E0
6.090989690E1,6.501078188E1,2.546581233E1,1.959528030E1,9.700000286E-1,3.203999939E2,7.169719696E0,8.664575577E0
6.191326753E1,6.501079059E1,2.546578863E1,1.932903997E1,1.000000000E0,3.043999939E2,7.361492634E0,9.135074615E0
6.291210904E1,6.501079928E1,2.546576222E1,1.901793863E1,9.700000286E-1,3.023999939E2,7.351590633E0,9.352626801E0
6.391931930E1,6.501080637E1,2.546573617E1,1.947142532E1,1.039999962E0,2.938999939E2,7.015637398E0,9.028377533E0
6.491324357E1,6.501081419E1,2.546571737E1,1.970109631E1,1.039999962E0,3.062000122E2,7.068127632E0,9.035378456E0
6.591231274E1,6.501082271E1,2.546569458E1,1.925150651E1,1.100000024E0,3.086000061E2,6.918550491E0,9.100742340E0
6.691172440E1,6.501082694E1,2.546567194E1,1.943930850E1,1.149999976E0,2.847999878E2,7.093183517E0,9.426626205E0
6.791176987E1,6.501083314E1,2.546564643E1,1.913150406E1,1.159999967E0,2.982999878E2,6.930683613E0,9.432115555E0
6.891316398E1,6.501084125E1,2.546562260E1,1.884945585E1,1.100000024E0,3.047999878E2,6.953254700E0,9.504841805E0
6.991401450E1,6.501084863E1,2.546559811E1,1.891817691E1,1.129999995E0,3.062999878E2,6.840187550E0,9.400735855E0
7.092081575E1,6.501085365E1,2.546557322E1,1.887843937E1,1.139999986E0,2.863999939E2,6.704543591E0,9.256689072E0
7.191368695E1,6.501086184E1,2.546554607E1,1.859034842E1,1.210000038E0,3.045000000E2,6.901484013E0,9.484602928E0
7.291265565E1,6.501086738E1,2.546552249E1,1.888227581E1,1.159999967E0,2.902999878E2,7.190318108E0,9.671346664E0
7.391521002E1,6.501087034E1,2.546549666E1,1.989173334E1,1.200000048E0,2.697000122E2,7.030889034E0,9.782657623E0
7.491365565E1,6.501088033E1,2.546547571E1,2.011676468E1,1.350000024E0,3.087999878E2,6.902297020E0,9.661139488E0
7.591325992E1,6.501088660E1,2.546545342E1,2.032446337E1,1.120000005E0,2.955000000E2,6.856666088E0,9.595386505E0
7.691129487E1,6.501089216E1,2.546543057E1,1.996697674E1,1.100000024E0,2.883999939E2,6.759771824E0,9.420384407E0
7.791533804E1,6.501089461E1,2.546540727E1,2.029631989E1,1.149999976E0,2.716000061E2,6.988596439E0,9.559247017E0
7.891289513E1,6.501089939E1,2.546538424E1,2.037462457E1,1.120000005E0,2.790000000E2,7.136584759E0,9.952962875E0
7.991341716E1,6.501090440E1,2.546535791E1,2.104771652E1,1.139999986E0,2.715000000E2,7.167015076E0,1.016347027E1
8.090871966E1,6.501091174E1,2.546533331E1,2.112534872E1,1.159999967E0,2.822999878E2,7.353826046E0,1.053181934E1
8.191283742E1,6.501091982E1,2.546531157E1,2.083268054E1,1.129999995E0,2.897000122E2,7.311326027E0,1.041025829E1
8.291311523E1,6.501092622E1,2.546529148E1,2.125107269E1,1.120000005E0,2.893999939E2,7.268905640E0,1.024006462E1
8.391262445E1,6.501093429E1,2.546526916E1,2.085281365E1,1.169999957E0,2.947999878E2,7.060811043E0,9.980550766E0
8.490996174E1,6.501094342E1,2.546524195E1,2.173031071E1,1.190000057E0,2.977999878E2,6.607153893E0,9.355871201E0
8.591390835E1,6.501095178E1,2.546521167E1,2.136232444E1,1.179999948E0,2.897999878E2,5.984885693E0,8.391003609E0
